start,end,text
3.55,7.28,"Mannomann, am Ende des Tages ist immer noch Arbeit übrig"
9.49,13.42,Wenn andere ihre Kinder betten
13.96,17.08,Brennt im Büro ein Licht
17.74,21.38,Man sieht dich dort die Firma retten
21.79,25.25,Die sonst zusammenbricht
26.07,28.23,"Na ja, Kollege, einer muss sich ja darum kümmern"
33.86,40.50,"Es ist noch Arbeit übrig, du hasts noch nicht geschafft"
41.65,48.86,"Du musst die Welt noch retten, sonst wird sie hingerafft"
49.58,50.78,"Ich kann machen, was ich will"
51.28,53.39,Am Ende der Woche ist auch noch Arbeit übrig
56.99,59.11,Andere hüten Kinder
60.41,63.00,Du hast nicht mal einen Hund
64.01,67.11,Du brauchst auch keine Wohnung
67.96,72.09,Büroschlaf ist ja so gesund
72.62,75.70,"Sonst ist ja keiner mehr da, ihr braucht mich doch!"
80.66,87.37,"Es ist noch Arbeit übrig, du hasts noch nicht geschafft"
88.46,95.13,"Du musst die Welt noch retten, sonst wird sie hingerafft"
95.28,97.34,Burnout-Man
98.70,100.97,Am Tag vor dem Urlaub ist auch noch Arbeit übrig!
103.70,105.88,Andere packen Koffer
107.22,110.31,Du stornierst den Flug
110.88,114.13,Die wichtige Bestellung
114.98,119.41,Kommt sonst nicht mehr zum Zug
119.81,122.39,Übernimmt denn hier keiner außer mir Verantwortung?
127.55,134.55,"Es ist noch Arbeit übrig, du hasts noch nicht geschafft"
135.28,141.51,"Du musst die Welt noch retten, sonst wird sie hingerafft"
141.59,144.19,"Oh, Burnout-Man"
145.03,147.15,Kurz vor der Rente ist auch noch Arbeit übrig!
150.52,152.97,Andere mähen schon Rasen
153.57,156.90,Aber du bist noch im Amt
158.43,160.63,Denn du musst noch was schaffen
161.84,165.75,Dazu bist du verdammt
166.74,170.93,"Mir wirds ja auch zu viel, aber wir können doch nicht alles den Bach runtergehen lassen"
174.28,181.41,"Es ist noch Arbeit übrig, du hasts noch nicht geschafft"
182.13,188.76,"Du musst die Welt noch retten, sonst wird sie hingerafft"
189.01,190.89,Burnout-Man
191.78,194.40,Am Ende des Lebens ist auch noch Arbeit übrig
197.41,199.61,Andere dürfen schon modern
200.34,203.85,Aber du bist noch nicht tot
204.58,207.79,"Die Welt, die braucht dich immer noch"
208.40,211.19,Als Retter in der Not
213.20,217.19,Begrabt mich mit meinem Laptop! Ich muss noch meine Mails checken
221.14,228.19,"Es ist noch Arbeit übrig, du hasts noch nicht geschafft"
228.89,235.13,"Du musst die Welt noch retten, sonst wird sie hingerafft"
235.22,239.54,"Oh, Burnout-Man"
239.69,241.21,Burnout-Man
242.26,243.31,Burnout-Man
245.75,247.96,Burnout-Man
249.69,251.81,Burnout-Man
